# key	file (under the source root)	start_s	dur_s	fade_s	channels	root_midi (measured; - for unpitched)	source
pno_C2	piano/piano_sustain_mf_C2.wav	0.002	3.6	0.9	2	36.0	vcsl
pno_D#2	piano/piano_sustain_mf_Ds2.wav	0.001	3.6	0.9	2	38.96	vcsl
pno_F#2	piano/piano_sustain_mf_Fs2.wav	0.001	3.6	0.9	2	42.08	vcsl
pno_A2	piano/piano_sustain_mf_A2.wav	0.001	3.6	0.9	2	44.99	vcsl
pno_C3	piano/piano_sustain_mf_C3.wav	0.001	3.6	0.9	2	48.02	vcsl
pno_E3	piano/piano_sustain_mf_E3.wav	0.002	3.6	0.9	2	51.96	vcsl
pno_G#3	piano/piano_sustain_mf_Gs3.wav	0.001	3.6	0.9	2	56.02	vcsl
pno_C4	piano/piano_sustain_mf_C4.wav	0.001	3.0	0.9	2	60.02	vcsl
pno_E4	piano/piano_sustain_mf_E4.wav	0.001	3.0	0.9	2	64.0	vcsl
pno_G#4	piano/piano_sustain_mf_Gs4.wav	0.001	3.0	0.9	2	68.08	vcsl
pno_C5	piano/piano_sustain_mf_C5.wav	0.001	2.6	0.9	2	71.98	vcsl
pno_E5	piano/piano_sustain_mf_E5.wav	0.001	2.6	0.9	2	76.01	vcsl
pno_G#5	piano/piano_sustain_mf_Gs5.wav	0.002	2.6	0.9	2	80.01	vcsl
pno_C6	piano/piano_sustain_mf_C6.wav	0.002	2.6	0.9	2	84.0	vcsl
glk_G5	glockenspiel/glockenspiel_hit_mf_G5.wav	0.0	2.4	0.8	1	79.08	vcsl
glk_C6	glockenspiel/glockenspiel_hit_mf_C6.wav	0.0	2.4	0.8	1	84.12	vcsl
glk_G6	glockenspiel/glockenspiel_hit_mf_G6.wav	0.007	2.4	0.8	1	91.12	vcsl
glk_C7	glockenspiel/glockenspiel_hit_mf_C7.wav	0.0	2.4	0.8	1	96.15	vcsl
glk_G7	glockenspiel/glockenspiel_hit_mf_G7.wav	0.0	2.4	0.8	1	103.16	vcsl
vib_B4	vibraphone/vibraphone_soft_mallet_B4.wav	0.001	2.6	0.9	1	71.0	vcsl
vib_D5	vibraphone/vibraphone_soft_mallet_D5.wav	0.004	2.6	0.9	1	74.0	vcsl
vib_F5	vibraphone/vibraphone_soft_mallet_F5.wav	0.001	2.6	0.9	1	77.0	vcsl
vib_A5	vibraphone/vibraphone_soft_mallet_A5.wav	0.001	2.6	0.9	1	81.0	vcsl
vib_C6	vibraphone/vibraphone_soft_mallet_C6.wav	0.006	2.6	0.9	1	84.0	vcsl
